year of exhibition,age at the time,name,birthyear,birthplace city,birthplace state,work place city,work place state,work place 2,work place 2 state or country
1991,37,john miller,1954,cleveland,ohio,new york,new york,,
1975,36,frank rivera,1939,cleveland,ohio,new brunswick,new jersey,,
1989,36,april gornik,1953,cleveland,ohio,new york,new york,,
1981,35,howard fried,1946,cleveland,ohio,san francisco,california,,
1993,34,renee green,1959,cleveland,ohio,brooklyn,new york,,
1979,33,howard fried,1946,cleveland,ohio,san francisco,california,,
1977,31,howard fried,1946,cleveland,ohio,san francisco,california,,
1975,27,robin bruch,1948,cleveland,ohio,new york,new york,,
2000,57,joseph marioni,1943,cincinnati,ohio,new york,new york,,
1973,42,tom wesselmann,1931,cincinnati,ohio,new york,new york,,
1981,41,jo ann callis,1940,cincinnati,ohio,culver city,california,,
1973,38,jim dine,1935,cincinnati,ohio,new york,new york,,
1991,32,alan rath,1959,cincinnati,ohio,oakland,california,,
2008,32,howie chen,1976,cincinnati,ohio,new york,new york,,
1973,39,robert rohm,1934,chincinnati,ohio,wakefield,rhode island,,
2008,46,william e. jones,1962,canton,ohio,los angeles,california,,
1989,42,constance de jong,1947,canton,ohio,nyack,new york,,
1993,31,william jones,1962,canton,ohio,los angeles,california,,
1983,39,mary lucier,1944,bucyrus,ohio,new york,new york,,
1975,32,judith suzanne miller,1943,bucyrus,ohio,los angeles,california,,
1975,31,allen ruppersberg,1944,brecksville,ohio,new york,new york,,
2002,53,diane kitchen,1949,akron,ohio,brown deer,wisconsin,,
1995,42,jim jarmusch,1953,akron,ohio,new york,new york,,
1975,33,philip mullen,1942,akron,ohio,columbia,south carolina,,
2014,43,matt hanner,1971,columbus,ohio,porter,indiana,,
2014,44,laura owens,1970,euclid,ohio,los angeles,california,,
2014,54,tony tasset,1960,cincinnati,ohio,chicago,illinois,,
2014,48,keith mayerson,1966,cincinnati,ohio,new york,new york,,
1991,39,david salle,1952,norman,oklahoma,new york,new york,,
1985,33,david salle,1952,norman,oklahoma,new york,new york,,
1983,31,david salle,1952,norman,oklahoma,new york,new york,,
2014,31,zackary drucker,1983,syracuse,new york,los angeles,california,,
2014,61,dawoud bey,1953,queens,new york,chicago,illinois,,
2014,36,shana lutker,1978,northport,new york,los angeles,california,,
2012,69,nathaniel dorsky,1943,new york,new york,san francisco,california,,
2014,67,rochelle feinstein,1947,new york,new york,new york,new york,,
2014,44,carissa rodriguez,1970,new york,new york,new york,new york,,
2014,38,karl haendel,1976,new york,new york,los angeles,california,,
2014,34,jessie mott,1980,new york,new york,chicago,illinois,,
2014,53,zoe leonard,1961,liberty,new york,new york,new york,,
2014,36,elijah burgher,1978,kingston,new york,chicago,illinois,,
2014,52,david foster wallace,1962,ithaca,new york,claremont,california,,
2012,43,vincent fecteau,1969,islip,new york,san francisco,california,,
2014,43,miguel gutierrez,1971,flushing,new york,brooklyn,new york,,
2014,67,charlemagne palestine,1947,brooklyn,new york,brussels,belgium,,
2008,32,gardar eide einarsson,1976,oslo,norway,new york,new york,,
1975,34,kaare rafoss,1941,flekkefjord,norway,new york,new york,,
2002,32,conor mcgrady,1970,downpatrick,northern ireland,chicago,illinois,,
1981,48,james rosenquist,1933,grand forks,north dakota,new york,new york,aripeka,florida
2012,45,richard maxwell,1967,west fargo,north dakota,new york,new york,,
1973,36,james reineking,1937,minot,north dakota,new york,new york,,
1983,36,lance kiland,1947,fargo,north dakota,minneapolis,minnesota,,
1983,34,t.i. solien,1949,fargo,north dakota,minneapolis,minnesota,paris,france
1989,38,sandy moore,1951,gastonia,north carolina,new york,new york,,
1985,34,sandy moore,1951,gastonia,north carolina,new york,new york,,
1983,32,sandy moore,1951,gastonia,north carolina,new york,new york,,
1975,28,pamela jenrette,1947,fort bragg,north carolina,new york,new york,,
2008,37,david reinfurt,1971,chapel hill,north carolina,new york,new york,,
1997,36,amanda miller,1961,chapel hill,north carolina,new york,new york,freiburg,germany
1973,49,kenneth noland,1924,asheville,north carolina,new york,new york,,
1979,28,donald sultan,1951,asheville,north carolina,new york,new york,,
2014,67,sarah charlesworth,1947,east orange,new jersey,hartford,connecticut,,
2002,30,josh on,1972,christchurch,new zealand,san francisco,california,,
2010,31,david adamo,1979,rochester,new york,berlin,germany,,
2010,73,robert grosvenor,1937,new york,new york,long island,new york,,
2010,50,nina berman,1960,new york,new york,new york,new york,,
2010,37,marianne vitale,1973,new york,new york,new york,new york,,
1985,28,jon kessler,1957,yonkers,new york,brooklyn,new york,,
1975,26,mark christian wethli,1949,westfield,new york,new york,new york,,
1981,39,william larson,1942,tonawanda,new york,wyncote,pennsylvania,,
2004,31,sue de beer,1973,tarrytown,new york,brooklyn,new york,,
1995,37,peter mcgough,1958,syracuse,new york,new york,new york,,
1991,33,peter mcgough,1958,syracuse,new york,new york,new york,,
1985,31,doug anderson,1954,syracuse,new york,boston,massachusetts,,
2004,28,zak smith,1976,syracuse,new york,new york,new york,,
2002,48,leighton pierce,1954,rochester,new york,iowa city,iowa,,
1991,33,wendy jacob,1958,rochester,new york,chicago,illinois,,
1985,37,frank majore,1948,richmond hill,new york,new york,new york,,
2002,38,brian tolle,1964,queens,new york,new york,new york,,
1973,36,harvey quaytman,1937,queens,new york,new york,new york,,
2002,36,janine gordon,1966,queens,new york,brooklyn,new york,,
2008,35,phoebe washburn,1973,poughkeepsie,new york,new york,new york,,
2004,30,amy cutler,1974,poughkeepsie,new york,brooklyn,new york,,
2012,31,michael robinson,1981,plattsburgh,new york,west danby,new york,,
1977,41,ree morton,1936,ossining,new york,new york,new york,,
2002,50,peter williams,1952,nyack,new york,detroit,michigan,,
2004,67,robert mangold,1937,north tonawanda,new york,washingtonville,new york,,
1985,48,robert mangold,1937,north tonawanda,new york,new york,new york,,
1979,42,robert mangold,1937,north tonawanda,new york,washingtonville,new york,,
1983,36,robert mangold,1947,north tonawanda,new york,washingtonville,new york,,
2006,47,lori cheatle,1959,niagara falls,new york,brooklyn,new york,,
1973,34,jake berthot,1939,niagara falls,new york,new york,new york,,
1991,68,ellsworth kelly,1923,newburgh,new york,new york,new york,,
1981,58,ellsworth kelly,1923,newburgh,new york,chatham,new york,,
1979,56,ellsworth kelly,1923,newburgh,new york,chatham,new york,,
1973,50,ellsworth kelly,1923,newburgh,new york,new york,new york,,
1973,67,ludwig sander,1906,new york city,new york,new york,new york,,
1973,61,buffie johnson,1912,new york city,new york,new york,new york,,
1997,33,annette lawrence,1964,new york,new york,denton,texas,,
2002,32,jose alvarez,1970,new york,new york,new york,new york,fort lauderdale,florida
2006,71,ira cohen,1935,new york,new york,new york,new york,,
1973,70,adolph gottlieb,1903,new york,new york,new york,new york,,
2012,70,george kuchar,1942,new york,new york,san francisco,california,,
2002,69,ken jacobs,1933,new york,new york,new york,new york,,
2012,69,elaine reichek,1943,new york,new york,new york,new york,,
1991,68,roy lichtenstein,1923,new york,new york,new york,new york,,
2002,65,peter campus,1937,new york,new york,east patchogue,new york,,
1993,64,ida applebroog,1929,new york,new york,new york,new york,,
1997,64,ken jacobs,1933,new york,new york,new york,new york,,
1995,62,ken jacobs,1933,new york,new york,new york,new york,,
1973,61,george sugarman,1912,new york,new york,new york,new york,,
2002,60,meredith monk,1942,new york,new york,new york,new york,,
2006,60,billy sullivan,1946,new york,new york,new york,new york,,
1997,59,aaron rose,1938,new york,new york,new york,new york,,
2000,57,nathaniel dorsky,1943,new york,new york,san francisco,california,,
1979,56,roy lichtenstein,1923,new york,new york,southampton,new york,,
1983,56,stan vanderbeek,1927,new york,new york,baltimore,maryland,,
1993,56,peter campus,1937,new york,new york,new york,new york,,
2002,56,fred worden,1946,new york,new york,silver spring,maryland,,
1973,55,stephen greene,1918,new york,new york,valley cottage,new york,,
1989,54,eleanor antin,1935,new york,new york,san diego,california,,
1989,53,larry gottheim,1936,new york,new york,binghamton,new york,new york,new york
1981,53,al held,1928,new york,new york,boiceville,new york,,
1973,51,ed ruda,1922,new york,new york,new york,new york,,
2006,50,lewis klahr,1956,new york,new york,los angeles,california,,
1973,50,roy lichtenstein,1923,new york,new york,new york,new york,,
1985,49,joan jonas,1936,new york,new york,new york,new york,,
1985,49,larry gottheim,1936,new york,new york,johnson city,new york,,
2004,49,roni horn,1955,new york,new york,new york,new york,,
2006,49,tony oursler ,1957,new york,new york,new york,new york,,
2006,48,steven parrino,1958,new york,new york,new york,new york,,
1981,48,ken jacobs,1933,new york,new york,new york,new york,,
1989,48,joel shapiro,1941,new york,new york,new york,new york,,
1997,48,william forsythe,1949,new york,new york,frankfurt,germany,,
2002,48,phil solomon,1954,new york,new york,broomfield,colorado,,
2008,48,coco fusco,1960,new york,new york,new york,new york,,
1973,47,mon levinson,1926,new york,new york,new york,new york,,
2008,47,jennifer montgomery,1961,new york,new york,chicago,illinois,,
2006,46,jeanne liotta,1960,new york,new york,new york,new york,,
1973,46,alfred leslie,1927,new york,new york,new york,new york,,
1981,46,robert moskowitz,1935,new york,new york,new york,new york,,
1989,46,martha rosler,1943,new york,new york,new york,new york,,
1989,46,nathaniel dorsky,1943,new york,new york,san francisco,california,,
1973,45,al held,1928,new york,new york,new york,new york,,
1973,45,helen frankenthaler,1928,new york,new york,new york,new york,,
1981,45,larry gottheim,1936,new york,new york,binghamton,new york,,
1989,45,martha diamond,1944,new york,new york,new york,new york,,
1997,45,robert attanasio,1952,new york,new york,new york,new york,,
1973,44,nicholas krushenick,1929,new york,new york,stamford,connecticut,,
1975,44,joe di giorgio,1931,new york,new york,new york,new york,,
1979,44,robert moskowitz,1935,new york,new york,new york,new york,,
1973,43,alice adams,1930,new york,new york,new york,new york,,
1979,43,joan jonas,1936,new york,new york,new york,new york,,
1979,43,larry gottheim,1936,new york,new york,binghamton,new york,,
1981,43,joel meyerowitz,1938,new york,new york,new york,new york,,
1991,43,eric fischl,1948,new york,new york,new york,new york,,
2000,43,mandy morrison,1957,new york,new york,brooklyn,new york,,
1975,42,tomaso puliafito,1933,new york,new york,new york,new york,,
1979,42,richard foreman,1937,new york,new york,new york,new york,,
1993,42,bill viola,1951,new york,new york,long beach,california,,
2008,42,rachel harrison,1966,new york,new york,new york,new york,,
1995,42,frank moore,1953,new york,new york,new york,new york,,
1977,41,joan jonas,1936,new york,new york,new york,new york,,
1989,41,jane aaron,1948,new york,new york,new york,new york,,
1993,41,julie dash,1952,new york,new york,atlanta,georgia,,
1977,40,peter campus,1937,new york,new york,new york,new york,,
1981,40,joel shapiro,1941,new york,new york,new york,new york,,
1981,40,mary miss,1941,new york,new york,new york,new york,,
1989,40,ross bleckner,1949,new york,new york,new york,new york,,
1991,40,julian schnabel,1951,new york,new york,new york,new york,,
1997,40,tony oursler,1957,new york,new york,new york,new york,,
2002,40,anne walsh,1962,new york,new york,los angeles,california,,
2008,40,marina rosenfeld,1968,new york,new york,new york,new york,,
1973,39,susan smith,1934,new york,new york,new york,new york,,
1973,39,will horwitt,1934,new york,new york,new york,new york,,
1985,39,dara birnbaum,1946,new york,new york,new york,new york,,
1989,39,sherry millner,1950,new york,new york,amherst,massachusetts,,
1991,39,rona pondick,1952,new york,new york,new york,new york,,
2002,39,collier schorr,1963,new york,new york,brooklyn,new york,,
2004,39,pip chodorov,1965,new york,new york,paris,france,,
1995,39,lewis klahr,1956,new york,new york,new york,new york,,
1973,38,robert moskowitz,1935,new york,new york,new york,new york,,
1979,38,joel shapiro,1941,new york,new york,new york,new york,,
1979,38,judith murray,1941,new york,new york,new york,new york,,
1981,38,joan thorne,1943,new york,new york,new york,new york,,
1983,38,judy rifka,1945,new york,new york,new york,new york,,
1985,38,lynne tillman,1947,new york,new york,new york,new york,,
1985,38,warren sonbert,1947,new york,new york,san francisco,california,,
1991,38,peter halley,1953,new york,new york,new york,new york,,
2002,38,stephen vitiello,1964,new york,new york,new york,new york,,
1973,37,joan jonas,1936,new york,new york,new york,new york,,
1973,37,ree morton,1936,new york,new york,new york,new york,,
1973,37,richard nonas,1936,new york,new york,new york,new york,,
1979,37,jody pinto,1942,new york,new york,philadelphia,pennsylvania,,
1981,37,richard fleischner,1944,new york,new york,providence,rhode island,,
1985,37,eric fischl,1948,new york,new york,new york,new york,,
1985,37,jane aaron,1948,new york,new york,new york,new york,,
1985,37,ned smyth,1948,new york,new york,new york,new york,,
2006,37,daisy wright,1969,new york,new york,new york,new york,,
1973,36,peter campus,1937,new york,new york,new york,new york,,
1973,36,robert grosvenor,1937,new york,new york,new york,new york,,
1977,36,joel shapiro,1941,new york,new york,new york,new york,,
1981,36,benno friedman,1945,new york,new york,new york,new york,,
1981,36,peter d'agostino,1945,new york,new york,new york,new york,,
1983,36,r.m. fischer,1947,new york,new york,new york,new york,,
1983,36,warren sonbert,1947,new york,new york,san francisco,california,,
1985,36,terry winters,1949,new york,new york,new york,new york,,
1991,36,roni horn,1955,new york,new york,new york,new york,,
2002,36,rachel harrison,1966,new york,new york,brooklyn,new york,,
2002,36,roxy paine,1966,new york,new york,new york,new york,,
1973,35,alan siegel,1938,new york,new york,new york,new york,,
1973,35,richard landry,1938,new york,new york,new york,new york,,
1975,35,billy adler,1940,new york,new york,los angeles,california,,
1975,35,hermine freed,1940,new york,new york,new york,new york,,
1975,35,john nargolies,1940,new york,new york,new york,new york,,
1981,35,robert mapplethorpe,1946,new york,new york,new york,new york,,
1983,35,eileen cowin,1948,new york,new york,venice,california,,
1983,35,eric fischl,1948,new york,new york,new york,new york,,
1985,35,sheila mclaughlin,1950,new york,new york,new york,new york,,
1993,35,jennifer macdonald,1958,new york,new york,new york,new york,,
1993,35,mark a. aubert,1958,new york,new york,new york,new york,,
2000,35,ingrid calame,1965,new york,new york,los angeles,california,,
2002,35,yael kanarek,1967,new york,new york,new york,new york,,
2008,35,adam putnam,1973,new york,new york,new york,new york,,
1995,35,emily breer,1960,new york,new york,new york,new york,,
1973,34,joyce cole,1939,new york,new york,new york,new york,,
1983,34,shalom gorewitz,1949,new york,new york,new york,new york,,
1985,34,bill viola,1951,new york,new york,long beach,california,,
1989,34,kate ericson,1955,new york,new york,new york,new york,,
1991,34,jessica diamond,1957,new york,new york,new york,new york,,
1993,34,marga gomez,1959,new york,new york,san francisco,california,,
2002,34,marina rosenfeld,1968,new york,new york,brooklyn,new york,,
2006,33,gedi sibony,1973,new york,new york,brooklyn,new york,,
1973,33,hannah wilke,1940,new york,new york,new york,new york,,
1973,33,nancy grossman,1940,new york,new york,new york,new york,,
1977,33,alan daniel saret,1944,new york,new york,new york,new york,,
1985,33,john newman,1952,new york,new york,new york,new york,,
1993,33,coco fusco,1960,new york,new york,new york,new york,,
1993,33,glenn ligon,1960,new york,new york,new york,new york,,
1993,33,jonathan robinson,1960,new york,new york,san francisco,california,,
1993,33,lorna simpson,1960,new york,new york,new york,new york,,
2000,33,e. v. day,1967,new york,new york,brooklyn,new york,,
1995,33,thomas allen harris,1962,new york,new york,la jolla,california,new york,new york
1989,32,tony oursler,1957,new york,new york,jamaica plain,massachusetts,new york,new york
1973,32,fred eversley,1941,new york,new york,venice,california,,
1973,32,tony berlant,1941,new york,new york,santa monica,california,,
1977,32,charles simonds,1945,new york,new york,new york,new york,,
1981,32,shalom gorewitz,1949,new york,new york,new york,new york,,
1983,32,bill viola,1951,new york,new york,long beach,california,,
1983,32,julian schnabel,1951,new york,new york,new york,new york,,
1985,32,jo anne carson,1953,new york,new york,chicago,illinois,,
2004,32,golan levin,1972,new york,new york,pittsburgh,pennsylvania,,
2012,32,nick mauss,1980,new york,new york,new york,new york,,
2008,31,leslie hewitt,1977,new york,new york,new york,new york,houston,texas
1973,31,andy tavarelli,1942,new york,new york,boston,massachusetts,,
1973,31,mary grigoriadis,1942,new york,new york,new york,new york,,
1975,31,sibyl l weil,1944,new york,new york,new york,new york,,
1981,31,owen morrel,1950,new york,new york,new york,new york,,
1991,31,glenn ligon,1960,new york,new york,new york,new york,,
1991,31,lorna simpson,1960,new york,new york,new york,new york,,
1991,31,nayland blake,1960,new york,new york,san francisco,california,,
2000,31,tara donovan,1969,new york,new york,richmond,virginia,,
1973,30,joel perlman,1943,new york,new york,new york,new york,,
1975,30,abigail gerd,1945,new york,new york,new york,new york,,
1975,30,beryl korot,1945,new york,new york,new york,new york,,
1975,30,charles simonds,1945,new york,new york,new york,new york,,
1975,30,christopher darton,1945,new york,new york,new york,new york,,
1975,30,gene sturman,1945,new york,new york,venice,california,,
1977,30,andy mann,1947,new york,new york,new york,new york,,
1981,30,julian schnabel,1951,new york,new york,new york,new york,,
1989,30,geralyn donohue,1959,new york,new york,new york,new york,,
1989,30,joan wallace,1959,new york,new york,new york,new york,,
1993,30,art jones,1963,new york,new york,bronx,new york,,
1993,30,tom poole,1963,new york,new york,new york,new york,,
1973,29,mary miss,1944,new york,new york,new york,new york,,
1973,29,randy hardy,1944,new york,new york,new york,new york,,
1983,29,mathew geller,1954,new york,new york,new york,new york,,
1993,29,gary simmons,1964,new york,new york,new york,new york,,
1973,28,ken greenleaf,1945,new york,new york,new york,new york,,
1973,28,michael steiner,1945,new york,new york,new york,new york,,
1973,28,robert j. lobe,1945,new york,new york,new york,new york,,
1975,28,andy mann,1947,new york,new york,new york,new york,,
1975,28,james perry,1947,new york,new york,new york,new york,,
1975,28,marilyn lenkowsky,1947,new york,new york,new york,new york,,
1975,28,scott miller,1947,new york,new york,boston,massachusetts,,
1979,28,william viola,1951,new york,new york,new york,new york,,
1997,28,beth coleman,1969,new york,new york,new york,new york,,
1973,27,nina yankowitz,1946,new york,new york,new york,new york,,
2006,26,jordan wolfson,1980,new york,new york,new york,new york,berlin,germany
1973,26,joanna pousette-dart,1947,new york,new york,new york,new york,,
1975,26,ross bleckner,1949,new york,new york,new york,new york,,
1993,26,george sosa,1967,new york,new york,brooklyn,new york,,
2006,25,dash snow,1981,new york,new york,new york,new york,,
1975,25,edwin rothfarb,1950,new york,new york,boston,massachusetts,,
1979,24,jane brettschneider,1955,new york,new york,new york,new york,,
2012,37,matt hoyt,1975,mount kisco,new york,yorktown heights,new york,,
1973,32,john seery,1941,maspeth,new york,new york,new york,,
1979,25,john sanborn,1954,long island,new york,new york,new york,,
1997,36,zoe leonard,1961,liberty,new york,new york,new york,,
1993,32,zoe leonard,1961,liberty,new york,new york,new york,,
2012,69,jerome hiler,1943,jamaica,new york,san francisco,california,,
2004,31,banks violette,1973,ithaca,new york,new york,new york,,
2002,33,vincent fecteau,1969,islip,new york,san francisco,california,,
1985,34,ericka beckman,1951,hempstead,new york,new york,new york,,
1983,32,ericka beckman,1951,hempstead,new york,new york,new york,,
1985,36,laurie simmons,1949,great neck,new york,new york,new york,,
1997,34,katy schimert,1963,grand island,new york,new york,new york,,
1981,30,william viola,1951,flushing,new york,new york,new york,,
1975,24,bill viola,1951,flushing,new york,florence,italy,,
1991,42,laurie simmons,1949,far rockaway,new york,new york,new york,,
1973,44,lyman kipp,1929,dobbs ferry,new york,north salem,new york,,
1975,29,dominick guida,1946,corona,new york,altadena,california,,
1981,27,john sanborn,1954,copiague,new york,new york,new york,,
1985,33,jill giegerich,1952,chappaqua,new york,culver city,california,,
2012,51,vincent gallo,1961,buffalo,new york,,,,
1985,40,susan rothenberg,1945,buffalo,new york,new york,new york,,
1983,38,susan rothenberg,1945,buffalo,new york,new york,new york,,
1993,38,kevin wolff,1955,buffalo,new york,chicago,illinois,,
1975,37,edward r. whiteman,1938,buffalo,new york,new orleans,louisiana,,
2004,36,laylah ali,1968,buffalo,new york,williamstown,massachusetts,,
1979,34,susan rothenberg,1945,buffalo,new york,new york,new york,,
1997,29,laura parnes,1968,buffalo,new york,new york,new york,,
2004,26,cory arcangel,1978,buffalo,new york,brooklyn,new york,,
2002,none,tracie morris,none,brooklyn,new york,brooklyn,new york,,
1995,71,jane freilicher,1924,brooklyn,new york,new york,new york,,
1973,65,lee krasner,1908,brooklyn,new york,new york,new york,,
1991,64,alex katz,1927,brooklyn,new york,new york,new york,,
1995,61,raphael montanez ortiz,1934,brooklyn,new york,highland park,new jersey,,
2000,54,annette weintraub,1946,brooklyn,new york,new york,new york,,
1979,52,alex katz,1927,brooklyn,new york,new york,new york,,
1985,52,ken jacobs,1933,brooklyn,new york,new york,new york,,
1993,51,mark rappaport,1942,brooklyn,new york,new york,new york,,
2004,51,robert longo,1953,brooklyn,new york,new york,new york,,
1973,46,alex katz,1927,brooklyn,new york,new york,new york,,
1985,46,joel-peter witkin,1939,brooklyn,new york,albuquerque,new mexico,,
1995,46,terry winters,1949,brooklyn,new york,new york,new york,,
2002,42,lorna simpson,1960,brooklyn,new york,brooklyn,new york,,
1973,41,lila katzen,1932,brooklyn,new york,new york,new york,,
1973,40,joseph raffael,1933,brooklyn,new york,san geronimo,california,,
1983,40,martha rosler,1943,brooklyn,new york,brooklyn,new york,,
1979,36,martha rosler,1943,brooklyn,new york,san francisco,california,,
1973,34,william bollinger,1939,brooklyn,new york,poughkeepsie,new york,,
1979,34,michael singer,1945,brooklyn,new york,wilmington,vermont,,
1975,33,barbara strasen,1942,brooklyn,new york,san diego,california,,
1993,33,lucy sexton,1960,brooklyn,new york,new york,new york,,
1995,33,gregg bordowitz,1962,brooklyn,new york,new york,new york,,
1979,32,warren sonbert,1947,brooklyn,new york,san francisco,california,,
1973,31,gary stephan,1942,brooklyn,new york,new york,new york,stone ridge,new york
1973,30,howard buchwald,1943,brooklyn,new york,new york,new york,,
1983,30,robert longo,1953,brooklyn,new york,new york,new york,,
1973,29,peter gutkin,1944,brooklyn,new york,san francisco,california,,
1975,29,judy rifka,1946,brooklyn,new york,new york,new york,,
1979,29,rodney ripps,1950,brooklyn,new york,new york,new york,,
1973,26,ira joel haberb,1947,brooklyn,new york,new york,new york,,
2008,61,louise lawler,1947,bronxville,new york,new york,new york,,
1995,57,brice marden,1938,bronxville,new york,new york,new york,,
1989,51,brice maren,1938,bronxville,new york,new york,new york,,
1979,41,brice marden,1938,bronxville,new york,new york,new york,,
1977,39,brice marden,1938,bronxville,new york,new york,new york,,
1973,35,brice marden,1938,bronxville,new york,new york,new york,,
1995,53,lawrence weiner,1942,bronx,new york,new york,new york,,
1995,52,alan turner,1943,bronx,new york,new york,new york,,
1991,51,vito acconci,1940,bronx,new york,new york,new york,,
1973,49,michael goldberg,1924,bronx,new york,new york,new york,,
1981,41,vito acconci,1940,bronx,new york,new york,new york,,
1985,39,ken kobland,1946,bronx,new york,new york,new york,,
1993,39,fred wilson,1954,bronx,new york,new york,new york,,
1977,37,vito acconci,1940,bronx,new york,new york,new york,,
1983,37,ken kobland,1946,bronx,new york,new york,new york,,
2006,36,kori newkirk,1970,bronx,new york,los angeles,california,,
1975,32,alan turner,1943,bronx,new york,new york,new york,,
1973,30,frances kuehn,1943,bronx,new york,princeton,new jersey,,
1975,29,joel glassman,1946,bronx,new york,san francisco,california,,
1993,28,cyrille phipps,1965,bronx,new york,new york,new york,,
1973,27,frances barth,1946,bronx,new york,,,,
1973,26,ronnie landfield,1947,bronx,new york,new york,new york,,
1973,37,gary hudson,1936,auburn,new york,del mar,california,,
2006,57,dominic angerame,1949,albany,new york,san francisco,california,,
2004,61,andrew noren,1943,santa fe,new mexico,holmdel,new jersey,,
2002,59,andrew noren,1943,santa fe,new mexico,holmdel,new jersey,,
1995,52,andrew noren,1943,santa fe,new mexico,holmdel,new jersey,,
1989,46,andrew noren,1943,santa fe,new mexico,aberdeen,new jersey,,
1981,38,andrew noren,1943,santa fe,new mexico,new york,new york,,
1993,37,miguel gandert,1956,espanola,new mexico,albuquerque,new mexico,,
2010,67,robert williams,1943,albuquerque,new mexico,chatsworth,california,,
2010,37,erika vogt,1973,east newark,new jersey,los angeles,california,,
1997,41,paul shambroom,1956,teaneck,new jersey,minneapolis,minnesota,,
2008,38,gretchen skogerson,1970,teaneck,new jersey,new york,new york,,
1995,51,elizabeth lecompte,1944,summit,new jersey,new york,new york,,
1993,49,elizabeth lecompte,1944,summit,new jersey,new york,new york,,
2002,41,mark napier,1961,springfield,new jersey,new york,new york,,
1973,61,tony smith,1912,south orange,new jersey,east orange,new jersey,,
1979,37,joyce kozloff,1942,somerville,new jersey,new york,new york,,
1979,45,gregory gillespie,1934,roselle park,new jersey,amherst,massachusetts,,
1973,37,gregory gillespie,1936,roselle park,new jersey,haydenville,massachusetts,,
1991,37,david wojnarowicz,1954,redbank,new jersey,new york,new york,,
1985,31,david wojnarowicz,1954,red bank,new jersey,new york,new york,,
2006,31,jay heikes,1975,princeton,new jersey,brooklyn,new york,minneapolis,minnesota
1981,38,jan groover,1943,plainfield,new jersey,new york,new york,,
2002,37,jeff warrin,1965,plainfield,new jersey,san francisco,california,,
1973,36,loretta dunkelman,1937,paterson,new jersey,new york,new york,,
1973,35,robert smithson,1938,passaic,new jersey,new york,new york,,
2002,37,robert lazzarini,1965,parsippany,new jersey,new york,new york,,
1995,65,john o'reilly,1930,orange,new jersey,worcester,massachusetts,,
1981,44,robert adams,1937,orange,new jersey,longmont,colorado,,
1995,36,peter cain,1959,orange,new jersey,new york,new york,,
1993,34,peter cain,1959,orange,new jersey,bridgehampton,new york,,
1991,53,pat steir,1938,newark,new jersey,new york,new york,,
1997,47,abigail child,1950,newark,new jersey,new york,new york,,
2000,47,chakaia booker,1953,newark,new jersey,new york,new york,,
2002,47,william pope.l,1955,newark,new jersey,lewiston,maine,,
1983,45,pat steir,1938,newark,new jersey,new york,new york,,
1989,41,abigail child,1948,newark,new jersey,new york,new york,,
1995,41,scott rankin,1954,newark,new jersey,chicago,illinois,,
1985,40,barbara kruger,1945,newark,new jersey,new york,new york,,
1977,39,pat steir,1938,newark,new jersey,new york,new york,,
1983,38,barbara kruger,1945,newark,new jersey,new york,new york,,
1973,35,pat steir,1938,newark,new jersey,new york,new york,,
1975,33,tom green,1942,newark,new jersey,,washington dc,,
1973,28,barbara kruger,1945,newark,new jersey,new york,new york,,
1977,32,willie walker,1945,new jersey,new jersey,oakland,california,,
1973,28,joel janowitz,1945,new jersey,new jersey,somerville,massachusetts,,
1997,42,michael ashkin,1955,morristown,new jersey,new york,new york,,
2008,50,charles long,1958,long branch,new jersey,los angeles,california,,
1997,39,charles long,1958,long branch,new jersey,new york,new york,,
2006,27,dan colen,1979,leonia,new jersey,new york,new york,,
2006,52,troy brauntuch,1954,jersey city,new jersey,austin,texas,,
1981,40,frank gillete,1941,jersey city,new jersey,new york,new york,,
1993,39,john kelly,1954,jersey city,new jersey,new york,new york,,
1975,34,frank gillette,1941,jersey city,new jersey,new york,new york,,
1985,34,liz phillips,1951,jersey city,new jersey,new york,new york,,
2002,30,luis gispert,1972,jersey city,new jersey,brooklyn,new york,,
1981,41,joan snyder,1940,highland park,new jersey,new york,new york,martin creek,pennsylvania
1973,33,joan snyder,1940,highland park,new jersey,new york,new york,,
1979,32,rita myers,1947,hammonton,new jersey,new york,new york,,
1989,35,deborah oropallo,1954,hackensack,new jersey,san francisco,california,,
2004,31,kim fisher,1973,hackensack,new jersey,los angeles,california,,
1995,41,cindy sherman,1954,glen ridge,new jersey,new york,new york,,
1993,39,cindy sherman,1954,glen ridge,new jersey,new york,new york,,
1991,37,cindy sherman,1954,glen ridge,new jersey,new york,new york,,
1985,31,cindy sherman,1954,glen ridge,new jersey,new york,new york,,
1983,29,cindy sherman,1954,glen ridge,new jersey,new york,new york,,
2008,37,shannon ebner,1971,englewood,new jersey,los angeles,california,,
2012,55,andrew masullo,1957,elizabeth,new jersey,san francisco,california,,
1981,46,robert zakanitch,1935,elizabeth,new jersey,new york,new york,,
1991,43,thomas lanigan schmidt,1948,elizabeth,new jersey,new york,new york,,
1995,40,philip taaffe,1955,elizabeth,new jersey,new york,new york,,
1991,36,philip taaffe,1955,elizabeth,new jersey,naples,italy,,
1985,38,sarah charlesworth,1947,east orange,new jersey,new york,new york,,
1977,50,allan kaprow,1927,atlantic city,new jersey,new york,new york,pasadena,california
